"Exact_Time_min","Trt","E_corr_avg","SD","N","SE","CI","E_corr_offset_avg","Time"
1290,"Col-0 - WW",0.893713236401283,0.0514718098116698,6,0.0230188931327669,0.0540163516663141,0.91632747488336,0.895833333333333
1320,"Col-0 - WW",0.90529747984092,0.053452477353873,6,0.0239046745858056,0.0560949347758873,0.927911718322997,0.916666666666667
1350,"Col-0 - WW",0.919222915005964,0.0566227873939781,6,0.0253224803376906,0.0594219711214937,0.941837153488041,0.9375
1380,"Col-0 - WW",0.919222915005964,0.0566227873939781,6,0.0253224803376906,0.0594219711214937,0.941837153488041,0.958333333333333
1410,"Col-0 - WW",0.935954120257491,0.060249525718267,6,0.0269444070236334,0.0632279995755791,0.958568358739568,0.979166666666667
1440,"Col-0 - WW",0.935954120257491,0.060249525718267,6,0.0269444070236334,0.0632279995755791,0.958568358739568,1
1470,"Col-0 - WW",2.00828133678285,0.0633166142220257,5,0.0316583071110129,0.0786179603676458,2.00637259860087,1.02083333333333
1500,"Col-0 - WW",2.03537848272868,0.0650349957978711,5,0.0325174978989356,0.0807516129055497,2.03346974454671,1.04166666666667
1530,"Col-0 - WW",2.05302168233073,0.0660366908588528,5,0.0330183454294264,0.0819953815999492,2.05111294414875,1.0625
1560,"Col-0 - WW",2.07623921739109,0.0767181907152949,5,0.0383590953576475,0.095258215418512,2.07433047920912,1.08333333333333
1590,"Col-0 - WW",2.08897574107896,0.0829980554655027,5,0.0414990277327514,0.103055697392434,2.08706700289698,1.10416666666667
1620,"Col-0 - WW",2.09818296665787,0.0874436716801821,5,0.0437218358400911,0.108575658996032,2.0962742284759,1.125
1650,"Col-0 - WW",2.13695715244313,0.0839547504739661,4,0.0484712977858922,0.133590742728444,2.11784241350762,1.14583333333333
1680,"Col-0 - WW",2.13213940163074,0.119576535776514,6,0.053476252502044,0.125487878339171,2.1208937060965,1.16666666666667
1710,"Col-0 - WW",2.13123833097132,0.118452560698416,6,0.0529735955661155,0.12430833883386,2.11999263543708,1.1875
1740,"Col-0 - WW",2.12770228433467,0.11878773232809,6,0.0531234888757319,0.124660079887522,2.11645658880043,1.20833333333333
1770,"Col-0 - WW",2.11802874880445,0.116238511159119,6,0.0519834425110317,0.121984836338827,2.10678305327021,1.22916666666667
1800,"Col-0 - WW",2.09983042151227,0.114202168257858,6,0.0510727622804879,0.119847825523194,2.08858472597804,1.25
1830,"Col-0 - WW",2.0886634560865,0.0966154482563777,6,0.0432077419955748,0.101391694764769,2.07741776055227,1.27083333333333
1860,"Col-0 - WW",2.05690943410557,0.101328601959049,6,0.0453155284090902,0.10633784623666,2.04566373857134,1.29166666666667
1890,"Col-0 - WW",2.03429230445817,0.0875181992328058,6,0.0391393285505847,0.0918447174144237,2.02304660892393,1.3125
1920,"Col-0 - WW",1.99827081800709,0.0860587342320675,6,0.0384866359600982,0.0903131028274682,1.98702512247286,1.33333333333333
1950,"Col-0 - WW",1.93875451749119,0.0884939246456737,6,0.0395756862206941,0.0928686784374396,1.92750882195696,1.35416666666667
1980,"Col-0 - WW",1.89375382471336,0.0922927344304137,6,0.0412745656031481,0.0968552848147314,1.88250812917913,1.375
2010,"Col-0 - WW",1.83919896065113,0.0941868745194241,6,0.042121650802735,0.0988430629310946,1.8279532651169,1.39583333333333
2040,"Col-0 - WW",1.79524759941932,0.095496222981967,6,0.0427072092364312,0.10021713987273,1.78400190388509,1.41666666666667
2070,"Col-0 - WW",1.75543350445722,0.101361074798899,6,0.0453300507045556,0.106371924392127,1.74418780892299,1.4375
2100,"Col-0 - WW",1.71192525265037,0.114533212131845,6,0.0512208096016417,0.120195234762925,1.70067955711614,1.45833333333333
