"Trt","idGenotype","idWatering","idPot","Time","Exact_Time_min","SWC","E_mmol_per_m2_s","E_clean","E_estimate","E_corr","meanVPD","E_mmol_per_m2_s_kPa","E_clean_per_kPa","E_estimate_per_kPa","E_corr_per_kPa"
"bam1 - WW","bam1","WW",109,1.89583333333334,2730,0.71446647068171,0.622364559383347,0.622364559383347,NA,0.622364559383347,0.897275862068966,0.693615626690637,0.693615626690637,NA,0.693615626690637
"bam1 - WW","bam1","WW",109,1.91666666666667,2760,0.71277808676307,0.620725345992253,0.620725345992253,NA,0.620725345992253,0.895826086956522,0.692908316725966,0.692908316725966,NA,0.692908316725966
"bam1 - WW","bam1","WW",109,1.9375,2790,0.711162402669633,0.622929491653509,0.622929491653509,NA,0.622929491653509,0.896058823529412,0.69518816766951,0.69518816766951,NA,0.69518816766951
"bam1 - WW","bam1","WW",109,1.95833333333334,2820,0.711162402669633,0.622929491653509,0.622929491653509,NA,0.622929491653509,0.896058823529412,0.69518816766951,0.69518816766951,NA,0.69518816766951
"bam1 - WW","bam1","WW",109,1.97916666666667,2850,0.709646134593993,0.622381458101334,0.622381458101334,NA,0.622381458101334,0.897363636363636,0.693566613222031,0.693566613222031,NA,0.693566613222031
"bam1 - WW","bam1","WW",109,2,2880,0.709646134593993,0.622381458101334,0.622381458101334,0.622586372554398,0.622381458101334,0.897363636363636,0.693566613222031,0.693566613222031,0.693794964856486,0.693566613222031
"bam1 - WW","bam1","WW",109,2.02083333333334,2910,0.699833147942158,1.70003118681157,1.70003118681157,1.71270169362814,1.70003118681157,0.918555555555556,1.85076577734415,1.85076577734415,1.86455972452562,1.85076577734415
"bam1 - WW","bam1","WW",109,2.04166666666667,2940,0.699833147942158,1.70003118681157,1.70003118681157,NA,1.70003118681157,0.918555555555556,1.85076577734415,1.85076577734415,NA,1.85076577734415
"bam1 - WW","bam1","WW",109,2.0625,2970,0.699833147942158,1.70003118681157,1.70003118681157,NA,1.70003118681157,0.918555555555556,1.85076577734415,1.85076577734415,NA,1.85076577734415
"bam1 - WW","bam1","WW",109,2.08333333333334,3000,0.6921875,1.69575888943056,1.69575888943056,NA,1.69575888943056,0.927875,1.82757256034547,1.82757256034547,NA,1.82757256034547
"bam1 - WW","bam1","WW",109,2.10416666666667,3030,0.68866332962551,1.69234243517554,1.69234243517554,NA,1.69234243517554,0.930607142857143,1.81853583240262,1.81853583240262,NA,1.81853583240262
"bam1 - WW","bam1","WW",109,2.125,3060,0.68866332962551,1.69234243517554,1.69234243517554,NA,1.69234243517554,0.930607142857143,1.81853583240262,1.81853583240262,NA,1.81853583240262
"bam1 - WW","bam1","WW",109,2.14583333333334,3090,0.686511053948832,1.69687255610951,1.69687255610951,NA,1.69687255610951,0.932346153846154,1.82000274158852,1.82000274158852,NA,1.82000274158852
"bam1 - WW","bam1","WW",109,2.16666666666667,3120,0.675230414746544,1.62425272740938,1.62425272740938,NA,1.62425272740938,0.931297297297297,1.74407542266373,1.74407542266373,NA,1.74407542266373
"bam1 - WW","bam1","WW",109,2.1875,3150,0.665878754171301,1.59996658980147,1.59996658980147,NA,1.59996658980147,0.931606060606061,1.71742827516666,1.71742827516666,NA,1.71742827516666
"bam1 - WW","bam1","WW",109,2.20833333333334,3180,0.659597469410456,1.54348809827027,1.54348809827027,NA,1.54348809827027,0.929238095238095,1.66102542091195,1.66102542091195,NA,1.66102542091195
"bam1 - WW","bam1","WW",109,2.22916666666667,3210,0.659597469410456,1.54348809827027,1.54348809827027,NA,1.54348809827027,0.929238095238095,1.66102542091195,1.66102542091195,NA,1.66102542091195
"bam1 - WW","bam1","WW",109,2.25,3240,0.659597469410456,1.54348809827027,1.54348809827027,NA,1.54348809827027,0.929238095238095,1.66102542091195,1.66102542091195,NA,1.66102542091195
"bam1 - WW","bam1","WW",109,2.27083333333334,3270,0.659597469410456,1.54348809827027,1.54348809827027,NA,1.54348809827027,0.929238095238095,1.66102542091195,1.66102542091195,NA,1.66102542091195
"bam1 - WW","bam1","WW",109,2.29166666666667,3300,0.655612717834631,1.52982957080209,1.52982957080209,NA,1.52982957080209,0.930055555555556,1.6448797726801,1.6448797726801,NA,1.6448797726801
"bam1 - WW","bam1","WW",109,2.3125,3330,0.649944382647386,NA,NA,NA,NA,0.925214285714286,NA,NA,NA,NA
"bam1 - WW","bam1","WW",109,2.33333333333334,3360,0.624318687430478,NA,NA,NA,NA,0.92125,NA,NA,NA,NA
"bam1 - WW","bam1","WW",109,2.35416666666667,3390,0.618891360771227,1.28593627370432,1.28593627370432,NA,1.28593627370432,0.92024,1.39739228212675,1.39739228212675,NA,1.39739228212675
"bam1 - WW","bam1","WW",109,2.375,3420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bam1 - WW","bam1","WW",109,2.39583333333334,3450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bam1 - WW","bam1","WW",109,2.41666666666667,3480,0.606502595476455,1.21072967082712,1.21072967082712,NA,1.21072967082712,0.917,1.3203158896697,1.3203158896697,NA,1.3203158896697
"bam1 - WW","bam1","WW",109,2.4375,3510,0.606502595476455,1.21072967082712,1.21072967082712,NA,1.21072967082712,0.917,1.3203158896697,1.3203158896697,NA,1.3203158896697
"bam1 - WW","bam1","WW",109,2.45833333333334,3540,0.606502595476455,1.21072967082712,1.21072967082712,NA,1.21072967082712,0.917,1.3203158896697,1.3203158896697,NA,1.3203158896697
"bam1 - WW","bam1","WW",109,2.47916666666667,3570,0.606502595476455,1.21072967082712,1.21072967082712,NA,1.21072967082712,0.917,1.3203158896697,1.3203158896697,NA,1.3203158896697
"bam1 - WW","bam1","WW",109,2.5,3600,0.606502595476455,1.21072967082712,1.21072967082712,1.18405833049387,1.21072967082712,0.917,1.3203158896697,1.3203158896697,1.29123045855384,1.3203158896697
"bam1 - WW","bam1","WW",109,2.52083333333334,3630,0.601164488320356,0.321817263996535,0.321817263996535,0.319665310009563,0.321817263996535,0.914444444444445,0.351926534139588,0.351926534139588,0.349573243023823,0.351926534139588
"bam1 - WW","bam1","WW",109,2.54166666666667,3660,0.600609010011123,0.325914793585591,0.325914793585591,NA,0.325914793585591,0.9175,0.355220483472034,0.355220483472034,NA,0.355220483472034
"bam1 - WW","bam1","WW",109,2.5625,3690,0.600609010011123,0.325914793585591,0.325914793585591,NA,0.325914793585591,0.9175,0.355220483472034,0.355220483472034,NA,0.355220483472034
"bam1 - WW","bam1","WW",109,2.58333333333334,3720,0.599865591397849,0.343195944429581,0.343195944429581,NA,0.343195944429581,0.916666666666667,0.374395575741361,0.374395575741361,NA,0.374395575741361
"bam1 - WW","bam1","WW",109,2.60416666666667,3750,0.599028682663277,0.350176888781191,0.350176888781191,NA,0.350176888781191,0.91575,0.382393544942605,0.382393544942605,NA,0.382393544942605
"bam1 - WW","bam1","WW",109,2.625,3780,0.598143770856507,0.353754798126162,0.353754798126162,NA,0.353754798126162,0.912266666666667,0.387775648340575,0.387775648340575,NA,0.387775648340575
"bam1 - WW","bam1","WW",109,2.64583333333334,3810,0.595731368186874,0.359327414384731,0.359327414384731,NA,0.359327414384731,0.91,0.394865290532672,0.394865290532672,NA,0.394865290532672
"bam1 - WW","bam1","WW",109,2.66666666666667,3840,0.594744160177975,0.358135806304891,0.358135806304891,NA,0.358135806304891,0.909416666666667,0.393808272304471,0.393808272304471,NA,0.393808272304471
"bam1 - WW","bam1","WW",109,2.6875,3870,0.593931749563006,0.357454177212333,0.357454177212333,NA,0.357454177212333,0.910212121212121,0.392715246130006,0.392715246130006,NA,0.392715246130006
"bam1 - WW","bam1","WW",109,2.70833333333334,3900,0.591997060225647,0.356788754584201,0.356788754584201,NA,0.356788754584201,0.907027777777778,0.393360339479718,0.393360339479718,NA,0.393360339479718
"bam1 - WW","bam1","WW",109,2.72916666666667,3930,0.590932054134223,0.353571761822107,0.353571761822107,NA,0.353571761822107,0.905433333333333,0.390500049871634,0.390500049871634,NA,0.390500049871634
"bam1 - WW","bam1","WW",109,2.75,3960,0.589905450500556,0.352641256365009,0.352641256365009,NA,0.352641256365009,0.904361111111111,0.389934122589315,0.389934122589315,NA,0.389934122589315
"bam1 - WW","bam1","WW",109,2.77083333333334,3990,0.588864942528736,0.351644436376457,0.351644436376457,NA,0.351644436376457,0.902633333333333,0.389576169404103,0.389576169404103,NA,0.389576169404103
"bam1 - WW","bam1","WW",109,2.79166666666667,4020,0.587837676783728,0.352010932941039,0.352010932941039,NA,0.352010932941039,0.902805555555556,0.389907805479136,0.389907805479136,NA,0.389907805479136
"bam1 - WW","bam1","WW",109,2.8125,4050,0.586809417871709,0.351349556642581,0.351349556642581,NA,0.351349556642581,0.9037,0.388790037227599,0.388790037227599,NA,0.388790037227599
"bam1 - WW","bam1","WW",109,2.83333333333334,4080,0.585763944064834,0.353904001481203,0.353904001481203,NA,0.353904001481203,0.903138888888889,0.391859996103814,0.391859996103814,NA,0.391859996103814
"bam1 - WW","bam1","WW",109,2.85416666666667,4110,0.583234844271413,0.356303779990603,0.356303779990603,NA,0.356303779990603,0.902090909090909,0.394975469101747,0.394975469101747,NA,0.394975469101747
"bam1 - WW","bam1","WW",109,2.875,4140,0.582647385984427,0.356906588234647,0.356906588234647,NA,0.356906588234647,0.901542857142857,0.395884217158289,0.395884217158289,NA,0.395884217158289
"bam1 - WW","bam1","WW",109,2.89583333333334,4170,0.581743604004449,0.357617260548474,0.357617260548474,NA,0.357617260548474,0.90051724137931,0.397124279376058,0.397124279376058,NA,0.397124279376058
"bam1 - WW","bam1","WW",109,2.91666666666667,4200,0.581743604004449,0.357617260548474,0.357617260548474,NA,0.357617260548474,0.90051724137931,0.397124279376058,0.397124279376058,NA,0.397124279376058
"bam1 - WW","bam1","WW",109,2.9375,4230,0.580873589702844,0.359557843027211,0.359557843027211,NA,0.359557843027211,0.900826086956522,0.39914235192943,0.39914235192943,NA,0.39914235192943
"bam1 - WW","bam1","WW",109,2.95833333333334,4260,0.580056544308491,0.363233759148059,0.363233759148059,NA,0.363233759148059,0.901470588235294,0.402934675727047,0.402934675727047,NA,0.402934675727047
"bam1 - WW","bam1","WW",109,2.97916666666667,4290,0.579318687430478,0.364891800117813,0.364891800117813,NA,0.364891800117813,0.900272727272727,0.405312511491058,0.405312511491058,NA,0.405312511491058
"bam1 - WW","bam1","WW",109,3,4320,0.579318687430478,0.364891800117813,0.364891800117813,0.365205650698523,0.364891800117813,0.900272727272727,0.405312511491058,0.405312511491058,0.405661128716929,0.405312511491058
"bam1 - WW","bam1","WW",109,3.02083333333334,4350,0.741472005932518,0.725311980244434,0.725311980244434,0.748683462379315,0.725311980244434,0.916142857142857,0.791701834041952,0.791701834041952,0.817212573936567,0.791701834041952
"bam1 - WW","bam1","WW",109,3.04166666666667,4380,0.741293897981885,0.767114551579818,0.767114551579818,NA,0.767114551579818,0.918222222222222,0.835434531004158,0.835434531004158,NA,0.835434531004158
"bam1 - WW","bam1","WW",109,3.0625,4410,0.741293897981885,0.767114551579818,0.767114551579818,NA,0.767114551579818,0.918222222222222,0.835434531004158,0.835434531004158,NA,0.835434531004158
