"idPot","weight_before","weight_after","predicted_water_add","from_id","decimalDay"
"273",195.998,203.348,7.48478724285775,217,64.8525115740741
"274",199.971,206.918,7.18301653243338,82,61.8090856481481
"274",202.979,210.465,7.63362373083376,126,62.8364351851852
"274",200.745,216.194,15.9274138888878,217,64.8529050925926
"275",208.87,215.617,6.83206954166084,217,64.8538657407407
"277",205.994,213.229,7.34667541891639,132,62.8433796296296
"277",208.243,214.603,6.44618185142187,221,64.8191319444445
"278",211.947,217.244,5.42968862543219,87,61.8134375
"278",210.24,218.074,7.91027377475032,221,64.8192592592593
"279",201.212,207.82,6.59380281019182,221,64.8204050925926
"280",153.028,157.085,4.15355323383076,39,60.7938425925926
"280",153.949,158.143,4.3813815600036,87,61.8146990740741
"280",154.715,159.808,5.21797727268452,131,62.8209953703704
"280",151.707,156.824,5.21540751618295,221,64.8205208333333
