"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idGenotype","idPotManip","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","idWatering","Time","Exact_Time_min"
4046,"126",102.666666666667,0.6666666667,0.00692071967265127,13,102.541724537037,102.791724537037,4351.82692307251,1.59030214091443,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.92675,1.71599907301261,1.45927139100216,"WW",-0.666666666666657,-960
4047,"126",102.6875,0.6875,0.00683128679703778,14,102.562534722222,102.81255787037,4356.80843504764,1.56795665884334,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.927166666666667,1.69112708126192,1.45455040990755,"WW",-0.645833333333329,-930
4048,"126",102.708333333333,0.7083333333,0.00674407633584423,15,102.583368055556,102.83337962963,4361.28629661379,1.54635029144509,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.927222222222222,1.6677235018581,1.45029507529508,"WW",-0.625,-900
4049,"126",102.729166666667,0.7291666667,0.00667460714740178,13,102.625046296296,102.83337962963,4364.55888641274,1.52927416518091,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.9265,1.65059273090223,1.44707781534705,"WW",-0.604166666666657,-870
4050,"126",102.75,0.75,0.0066320514368828,11,102.666712962963,102.83337962963,4367.76771922541,1.51840753978074,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.925041666666667,1.64144772554109,1.44398379398379,"WW",-0.583333333333329,-840
4051,"126",102.770833333333,0.7708333333,0.00657232611145126,9,102.708391203704,102.83337962963,4370.85814620641,1.50366950644591,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.929555555555556,1.61762198876562,1.44101037851038,"WW",-0.5625,-810
4052,"126",102.791666666667,0.7916666667,0.00657232611145126,9,102.708391203704,102.83337962963,4370.85814620641,1.50366950644591,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.929555555555556,1.61762198876562,1.44101037851038,"WW",-0.541666666666657,-780
4053,"126",102.8125,0.8125,0.00653351070196885,8,102.729212962963,102.83337962963,4372.32223241195,1.49428847067493,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.928066666666667,1.61010897637554,1.43959668803419,"WW",-0.520833333333329,-750
4054,"126",102.833333333333,0.8333333333,0.0064023757963284,7,102.75005787037,102.83337962963,4373.68845986537,1.46383901255863,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.931416666666667,1.5716263890761,1.43823478109192,"WW",-0.5,-720
4055,"126",102.854166666667,0.8541666667,0.00292916913518756,4,102.83337962963,102.895891203704,4383.13756723882,0.668281360156534,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.886222222222222,0.754078766475527,1.43102869352869,"WW",-0.479166666666657,-690
