"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idPotManip","idGenotype","idWatering","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","Time","Exact_Time_min"
20,"55",51,0,0.00180571941303428,9,50.8750810185185,51.1250925925926,3973.31672560498,0.454461483374282,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.732416666666667,0.62049582438177,1.31591297083288,-0.333333333333336,-480
21,"55",51.0208333333333,0.0208333333,0.00181038242520009,8,50.8959259259259,51.1250925925926,3979.66021912524,0.454908792589842,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.733,0.620612268198966,1.31530728996404,-0.3125,-450
22,"55",51.0416666666667,0.0416666667,0.00179912224421783,7,50.9167708333333,51.1250925925926,3986.01384018197,0.451358754975045,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.732566666666667,0.616133350741746,1.31464297389436,-0.291666666666671,-420
23,"55",51.0625,0.0625,0.00179967586216517,6,50.9376157407407,51.1250925925926,3992.37760494403,0.450777967478956,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.733296296296296,0.614728275262983,1.31393974065599,-0.270833333333336,-390
24,"55",51.0833333333333,0.0833333333,0.00181489592318739,5,50.9584375,51.1250925925926,3998.75152960606,0.453865640250517,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.734791666666667,0.617679351630984,1.31315789473684,-0.25,-360
25,"55",51.1041666666667,0.1041666667,0.00183547049296629,5,51.0000925925926,51.2272222222222,4005.1356303886,0.458279235050076,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.73603125,0.622635567511673,1.3106341941811,-0.229166666666671,-330
26,"55",51.125,0.125,0.00186022247380829,6,51.0000925925926,51.2500810185185,4011.52992353805,0.463718957421519,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.73625,0.62983899140444,1.30939032363517,-0.208333333333336,-300
27,"55",51.1458333333333,0.1458333333,0.00188046702263937,6,51.0417592592593,51.2709259259259,4017.93442532678,0.468018345641973,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.735666666666667,0.636182617546859,1.30725454941702,-0.1875,-270
28,"55",51.1666666666667,0.1666666667,0.00189795692350228,7,51.0417592592593,51.2917476851852,4024.34915205311,0.471618354121683,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.734833333333333,0.641803158251327,1.30636295708215,-0.166666666666671,-240
29,"55",51.1875,0.1875,0.00191387542467108,7,51.0834375,51.3125810185185,4030.77412004139,0.474815846205599,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.734090909090909,0.646807963871404,1.30450427310512,-0.145833333333336,-210
30,"55",51.2083333333333,0.2083333333,0.0019307489888827,9,51.0834375,51.3334375,4037.20934564205,0.478238511700375,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.734388888888889,0.651206082956861,1.30333079074498,-0.125,-180
31,"55",51.2291666666667,0.2291666667,0.00196174864247188,8,51.1250925925926,51.3334375,4043.6548452316,0.485142455910951,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7337,0.661227280783633,1.30234758090879,-0.104166666666671,-150
32,"55",51.25,0.25,0.00200867304582673,7,51.2272222222222,51.3334375,4050.1106352127,0.49595510511807,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7315625,0.67793948585127,1.30134731238033,-0.0833333333333357,-120
33,"55",51.2708333333333,0.2708333333,0.00200867304582673,7,51.2272222222222,51.3334375,4056.57673201421,0.495164563257099,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7315625,0.676858864768354,1.30134731238033,-0.0625,-90
34,"55",51.2916666666667,0.2916666667,0.00200867304582673,7,51.2272222222222,51.3334375,4063.05315209121,0.494375281502996,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7315625,0.675779966172399,1.30134731238033,-0.0416666666666714,-60
35,"55",51.3125,0.3125,0.00200867304582673,7,51.2272222222222,51.3334375,4069.53991192505,0.493587257847176,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7315625,0.674702787317798,1.30134731238033,-0.0208333333333357,-30
36,"55",51.3333333333333,0.3333333333,0.00199411938623547,6,51.2500810185185,51.3334375,4076.0370280234,0.489229948728528,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.729416666666667,0.6707139706092,1.30083360575351,0,0
37,"55",51.3541666666667,0.3541666667,0.00410046302309252,5,51.3334375,51.3959722222222,4082.54451692027,1.00438905346849,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.746444444444444,1.34556437648354,1.29628636809415,0.0208333333333286,30
38,"55",51.375,0.375,0.00424131912782235,6,51.3334375,51.4168055555556,4089.06239517608,1.03723512089859,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.748083333333333,1.38652349902897,1.29524626784352,0.0416666666666643,60
39,"55",51.3958333333333,0.3958333333,0.00435919039266801,7,51.3334375,51.4375925925926,4095.59067937769,1.06436183054562,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.749466666666667,1.42015899823735,1.29413907439406,0.0625,90
40,"55",51.4166666666667,0.4166666667,0.00456188377555095,9,51.3334375,51.4792824074074,4102.12938613843,1.11207700833769,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.751523809523809,1.47976284216775,1.29177109440267,0.0833333333333286,120
41,"55",51.4375,0.4375,0.00470092700439403,11,51.3334375,51.5209259259259,4108.67853209817,1.14414573144846,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.752111111111111,1.52124561723092,1.28928348539333,0.104166666666664,150
42,"55",51.4583333333333,0.4583333333,0.00482979987063864,13,51.3334375,51.5625925925926,4115.23813392333,1.17363800428095,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.753,1.55861620754442,1.28668745442201,0.125,180
43,"55",51.4791666666667,0.4791666667,0.00501287132274278,14,51.3438310185185,51.6042824074074,4121.80820830695,1.21618257555993,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.755921052631579,1.60887512171548,1.28293443235418,0.145833333333329,210
44,"55",51.5,0.5,0.00515991342673537,13,51.3764699074074,51.6250925925926,4128.3887719687,1.24986131678552,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.757194444444445,1.6506477641982,1.27908190207961,0.166666666666664,240
45,"55",51.5208333333333,0.5208333333,0.00523252554159563,13,51.3959722222222,51.6459259259259,4134.97984165498,1.26542951645959,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.757972222222222,1.6694932602538,1.27636608243016,0.1875,270
46,"55",51.5416666666667,0.5416666667,0.0052991300733568,13,51.4168055555556,51.6668287037037,4141.58143413889,1.27949435683584,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758222222222222,1.68749255737435,1.27360499911987,0.208333333333329,300
47,"55",51.5625,0.5625,0.00533829723422942,13,51.4375925925926,51.6875810185185,4148.19356622034,1.28689685016156,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758555555555556,1.69650968968128,1.27081625468353,0.229166666666664,330
48,"55",51.5833333333333,0.5833333333,0.00534759512875502,13,51.4584143518519,51.7084259259259,4154.81625472603,1.28708342340584,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758305555555556,1.69731503874172,1.26802499559937,0.25,360
49,"55",51.6041666666667,0.6041666667,0.00534091254937723,13,51.4792824074074,51.7292592592593,4161.44951650954,1.28342601014105,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758777777777778,1.69143858416598,1.26523247919129,0.270833333333329,390
50,"55",51.625,0.625,0.00531472456243304,13,51.5001157407407,51.7501157407407,4168.09336845136,1.27509729092458,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.759194444444445,1.67953980729885,1.26244750672668,0.291666666666664,420
51,"55",51.6458333333333,0.6458333333,0.00526495066019412,13,51.5209259259259,51.7709143518519,4174.74782745893,1.26114220015027,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758805555555556,1.66200970843833,1.25968013679684,0.3125,450
52,"55",51.6666666666667,0.6666666667,0.00519220525440513,13,51.5417476851852,51.7917592592593,4181.41291046668,1.24173463984107,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758833333333333,1.63637334483778,1.25692408278221,0.333333333333329,480
53,"55",51.6875,0.6875,0.00511813194353258,13,51.5625925925926,51.8125810185185,4188.08863443606,1.2220686786448,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758777777777778,1.61057520981157,1.25419820454145,0.354166666666664,510
54,"55",51.7083333333333,0.7083333333,0.00504128352507092,13,51.5834259259259,51.8334490740741,4194.77501635565,1.20180069381902,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758388888888889,1.58467603023533,1.25149495813111,0.375,540
55,"55",51.7291666666667,0.7291666667,0.0049655337858917,11,51.6250925925926,51.8334490740741,4201.47207324107,1.18185571612314,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.756866666666667,1.56151111969057,1.24876370768819,0.395833333333329,570
56,"55",51.75,0.75,0.0048624387076769,9,51.6668287037037,51.8334490740741,4208.1798221352,1.15547312928508,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.75675,1.52688883949136,1.24606806872253,0.416666666666664,600
57,"55",51.7708333333333,0.7708333333,0.00480841665253166,7,51.7084259259259,51.8334490740741,4214.89828010805,1.14081440001166,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.756333333333333,1.5083486998832,1.24346892074908,0.4375,630
58,"55",51.7916666666667,0.7916666667,0.00480841665253166,7,51.7084259259259,51.8334490740741,4221.62746425694,1.1389959661867,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.756333333333333,1.50594442422217,1.24346892074908,0.458333333333329,660
59,"55",51.8125,0.8125,0.00477277329059774,6,51.7292592592593,51.8334490740741,4228.36739170644,1.12875085073239,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7558,1.49345177392483,1.24217881660673,0.479166666666664,690
60,"55",51.8333333333333,0.8333333333,0.00475839031834583,5,51.7501157407407,51.8334490740741,4235.11807960851,1.12355552523005,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.755333333333333,1.48749628229927,1.24090879372344,0.5,720
