"Trt","idGenotype","idWatering","idPot","Time","Exact_Time_min","SWC","E_mmol_per_m2_s","E_clean","E_estimate","E_corr","meanVPD","E_mmol_per_m2_s_kPa","E_clean_per_kPa","E_estimate_per_kPa","E_corr_per_kPa"
"Col-0 - WW","Col-0","WW",59,-0.1875,-270,1.25661100609116,0.540424663189712,0.540424663189712,NA,0.540424663189712,0.735666666666667,0.734605341898113,0.734605341898113,NA,0.734605341898113
"Col-0 - WW","Col-0","WW",59,-0.166666666666671,-240,1.25531550994689,0.541683479628629,0.541683479628629,NA,0.541683479628629,0.734833333333333,0.737151480556083,0.737151480556083,NA,0.737151480556083
"Col-0 - WW","Col-0","WW",59,-0.145833333333336,-210,1.25252723017373,0.546488649423021,0.546488649423021,NA,0.546488649423021,0.734090909090909,0.744442742248078,0.744442742248078,NA,0.744442742248078
"Col-0 - WW","Col-0","WW",59,-0.125,-180,1.25159892879647,0.548226752971911,0.548226752971911,NA,0.548226752971911,0.733941176470588,0.746962795585677,0.746962795585677,NA,0.746962795585677
"Col-0 - WW","Col-0","WW",59,-0.104166666666671,-150,1.25005175983437,0.554436323406097,0.554436323406097,NA,0.554436323406097,0.733107142857143,0.756282800963157,0.756282800963157,NA,0.756282800963157
"Col-0 - WW","Col-0","WW",59,-0.0833333333333357,-120,1.24845095568158,0.574714532360208,0.574714532360208,NA,0.574714532360208,0.728923076923077,0.788443322148871,0.788443322148871,NA,0.788443322148871
"Col-0 - WW","Col-0","WW",59,-0.0625,-90,1.24845095568158,0.574714532360208,0.574714532360208,NA,0.574714532360208,0.728923076923077,0.788443322148871,0.788443322148871,NA,0.788443322148871
"Col-0 - WW","Col-0","WW",59,-0.0416666666666714,-60,1.24845095568158,0.574714532360208,0.574714532360208,NA,0.574714532360208,0.728923076923077,0.788443322148871,0.788443322148871,NA,0.788443322148871
"Col-0 - WW","Col-0","WW",59,-0.0208333333333357,-30,1.24845095568158,0.574714532360208,0.574714532360208,NA,0.574714532360208,0.728923076923077,0.788443322148871,0.788443322148871,NA,0.788443322148871
"Col-0 - WW","Col-0","WW",59,0,0,1.24764650283554,0.567904874804986,0.567904874804986,0.58656519912981,0.567904874804986,0.7269,0.781269603528664,0.781269603528664,0.80694070591527,0.781269603528664
"Col-0 - WW","Col-0","WW",59,0.0208333333333286,30,1.2401606805293,1.14135189131757,1.14135189131757,1.14902349168872,1.14135189131757,0.746444444444444,1.52905135782348,1.52905135782348,1.53932888139305,1.52905135782348
"Col-0 - WW","Col-0","WW",59,0.0416666666666643,60,1.2386315900021,1.17340582506857,1.17340582506857,NA,1.17340582506857,0.748083333333333,1.56854961577619,1.56854961577619,NA,1.56854961577619
"Col-0 - WW","Col-0","WW",59,0.0625,90,1.2353831915564,1.22117745050626,1.22117745050626,NA,1.22117745050626,0.751222222222222,1.6255874951274,1.6255874951274,NA,1.6255874951274
"Col-0 - WW","Col-0","WW",59,0.0833333333333286,120,1.23189508506616,1.26020961040912,1.26020961040912,NA,1.26020961040912,0.751666666666667,1.67655380542233,1.67655380542233,NA,1.67655380542233
