"Exact_Time_min","Trt","E_corr_avg","SD","N","SE","CI","E_corr_offset_avg","Time"
-420,"Col-0 - WW",0.512700752280158,0.04046265806844,9,0.0143057099525133,0.031102352275725,0.512700752280158,-0.291666666666667
-390,"Col-0 - WW",0.512140019961155,0.040237118087335,9,0.0142259695274792,0.0309289868993643,0.512140019961155,-0.270833333333333
-360,"Col-0 - WW",0.513763949928025,0.0399381004883832,9,0.0141202508415228,0.0306991416261371,0.513763949928025,-0.25
-330,"Col-0 - WW",0.525539932665676,0.0456164826275302,9,0.0161278620999025,0.0350639325241846,0.525539932665676,-0.229166666666667
-300,"Col-0 - WW",0.529156768880551,0.043001249865019,9,0.015203237689526,0.0330536866692272,0.529156768880551,-0.208333333333333
-270,"Col-0 - WW",0.535188757659196,0.0460218769804062,9,0.0162711906478892,0.0353755462088914,0.535188757659196,-0.1875
-240,"Col-0 - WW",0.535750610911844,0.0443931126584467,9,0.015695335499383,0.0341235671216541,0.535750610911844,-0.166666666666667
-210,"Col-0 - WW",0.540240255411446,0.0443357683692008,9,0.015675061231489,0.0340794883989437,0.540240255411446,-0.145833333333333
-180,"Col-0 - WW",0.542842291917308,0.0433203211953459,9,0.0153160464402042,0.0332989466049468,0.542842291917308,-0.125
-150,"Col-0 - WW",0.549228779084322,0.0431539389960687,9,0.0152572214495154,0.0331710539250943,0.549228779084322,-0.104166666666667
-120,"Col-0 - WW",0.556940440483482,0.0461742491877321,9,0.0163250623584214,0.0354926698556193,0.556940440483482,-0.0833333333333333
-90,"Col-0 - WW",0.556940440483482,0.0461742491877321,9,0.0163250623584214,0.0354926698556193,0.556940440483482,-0.0625
-60,"Col-0 - WW",0.556940440483482,0.0461742491877321,9,0.0163250623584214,0.0354926698556193,0.556940440483482,-0.0416666666666667
-30,"Col-0 - WW",0.556940440483482,0.0461742491877321,9,0.0163250623584214,0.0354926698556193,0.556940440483482,-0.0208333333333333
0,"Col-0 - WW",0.558812555690999,0.0404280431433467,9,0.0142934717283814,0.0310757448889233,0.558812555690999,0
30,"Col-0 - WW",1.12767541332545,0.0895295492319638,9,0.0316534756892482,0.0688185035839579,1.12767541332545,0.0208333333333333
60,"Col-0 - WW",1.1543107691393,0.0873093701573879,9,0.0308685238497077,0.0671119228750026,1.1543107691393,0.0416666666666667
90,"Col-0 - WW",1.18490454455677,0.0900030903026752,9,0.0318208977403834,0.069182499473041,1.18490454455677,0.0625
120,"Col-0 - WW",1.22157007967455,0.086252313579976,9,0.0304947979127148,0.066299397262117,1.22157007967455,0.0833333333333333
150,"Col-0 - WW",1.25153701835116,0.0841160116421427,9,0.0297395011192628,0.0646572902278876,1.25153701835116,0.104166666666667
180,"Col-0 - WW",1.2786015644273,0.0858033384960675,9,0.030336061249507,0.0659542844620848,1.2786015644273,0.125
210,"Col-0 - WW",1.30863214828708,0.0801238783137564,9,0.0283280688453114,0.0615886649067059,1.30863214828708,0.145833333333333
240,"Col-0 - WW",1.34096493519168,0.0784063927540851,9,0.0277208460023947,0.0602684886391207,1.34096493519168,0.166666666666667
270,"Col-0 - WW",1.35733871175725,0.0772321270351512,9,0.0273056803760082,0.0593658681045574,1.35733871175725,0.1875
300,"Col-0 - WW",1.37020515886938,0.0757683724514725,9,0.0267881649799521,0.0582407267302617,1.37020515886938,0.208333333333333
330,"Col-0 - WW",1.37765545208,0.0747550491464864,9,0.0264299010897071,0.0574618174863961,1.37765545208,0.229166666666667
360,"Col-0 - WW",1.3819403212876,0.0749244426385009,9,0.0264897907331532,0.0575920248507501,1.3819403212876,0.25
