idPotManip,idGenotype,Treatment,Analysis
C2M47-151,abcb14-2,WW,ST
C2M47-164,abcb14-2,WW,ST
C2M47-168,abcb14-2,WW,ST
C2M47-165,mex1-1,WW,ST
C2M47-200,abcb14-2,WW,ST
C2M47-167,Col-0,WW,ST_FINE
C2M47-35,abcb14-2,WW,ST
C2M47-169,Col-0,WW,ST_FINE
C2M47-170,bam1,WW,ST
C2M47-171,Col-0,WS,ST
C2M47-172,Col-0,WW,ST_FINE
C2M47-173,Col-0,WW,ST_FINE
C2M47-174,mex1-1,WW,ST
C2M47-175,ss4-3 ProStarv::LUC,WW,ST
C2M47-176,bam3,WW,ST
C2M47-177,bam1,WW,ST
C2M47-178,bam1,WW,ST
C2M47-179,Col-0,WW,ST_FINE
C2M47-180,bam3,WW,ST
C2M47-181,Col-0,WW,ST_ENV
C2M47-182,dpe2-5,WW,ST
C2M47-183,pgi1-1,WW,ST
C2M47-184,Col-0,WS,ST
C2M47-185,dpe2-5,WW,ST
C2M47-186,dpe1-2,WW,ST
C2M47-187,isa1-1 ProStarv::LUC,WW,ST
C2M47-188,amy3-2 bam1,WW,ST
C2M47-189,Col-0,WW,ST
C2M47-190,Col-0,WW,ST_ENV
C2M47-191,Col-0,WW,ST_FINE
C2M47-192,Col-0,WS,ST
C2M47-193,pgm-1,WW,ST
C2M47-194,Col-0,WW,ST
C2M47-195,pgm-1,WS,ST
C2M47-196,isa1-1 ProStarv::LUC,WW,ST
C2M47-197,sex1-3,WW,ST
C2M47-198,Col-0,WS,ST
C2M47-199,Col-0,WW,ST
C2M47-45,abcb14-2,WW,ST
C2M47-201,amy3-2 bam1,WW,ST
C2M47-202,Col-0,WW,ST
C2M47-203,isa1-1 ProStarv::LUC,WW,ST
C2M47-204,isa1-1 ProStarv::LUC,WW,ST
C2M47-205,Col-0,WS,ST
C2M47-206,isa1-1 ProStarv::LUC,WW,ST
C2M47-207,amy3-2,WW,ST
C2M47-208,pgm-1,WS,ST
C2M47-209,amy3-2,WW,ST
C2M47-210,amy3-2 bam1,WW,ST
C2M47-211,pgi1-1,WW,ST
C2M47-212,Col-0,WW,ST_ENV
C2M47-213,pgm-1,WW,ST
C2M47-214,mex1-1,WW,ST
C2M47-215,Col-0,WW,ST_FINE
C2M47-216,dpe2-5,WW,ST
C2M47-217,abcb14-1,WW,TR
C2M47-218,Col-0,WW,ST_ENV
C2M47-219,mex1-1,WW,TR
C2M47-220,bam1bam3,WW,TR
C2M47-221,ss4-3 ProStarv::LUC,WW,TR
C2M47-222,Col-0 ProStarv::LUC,WW,TR
C2M47-223,mex1-1,WW,TR
C2M47-224,Col-0,WS,TR
C2M47-225,Col-0 ProStarv::LUC,WW,TR
C2M47-226,sex1-3,WW,TR
C2M47-227,sex1-3,WW,TR
C2M47-228,bam1bam3,WW,TR
C2M47-229,amy3-2 bam1,WW,TR
C2M47-230,amy3-2 bam1,WW,TR
C2M47-231,pgi1-1,WW,TR
C2M47-232,amy3-2 bam1,WW,TR
C2M47-233,pgm-1,WW,TR
C2M47-234,dpe1-2,WW,TR
C2M47-235,isa1-1 ProStarv::LUC,WW,TR
C2M47-236,Col-0,WW,ST_ENV
C2M47-237,dpe2-5,WW,TR
C2M47-238,Col-0,WW,ST_ENV
C2M47-239,Col-0,WW,TR
C2M47-240,bam1bam3,WW,TR
C2M47-241,sex1-3,WW,TR
C2M47-242,Col-0,WW,TR
C2M47-243,dpe2-5,WW,TR
C2M47-244,dpe1-2,WW,TR
C2M47-245,amy3-2,WW,TR
C2M47-246,isa1-1 ProStarv::LUC,WW,TR
