"","file","pot_number","year","month","date","time","date_time","Rosette_area_px","Areamm2","X","Experiment","idPot","file_3","Date1","file_5","Year","Month","Day","idPotManip","idGenotype","Treatment","decimalDay","outlier"
"565","C2M47-224-V-20190305-0048.JPG",224,2019,"Mar","2019-03-05","14:34:07",321.148701461,69001,688.632047273,NA,"C2M47",224,"V",20190305,"0048.JPG","2019","03","05","C2M47-224","Col-0","WS",64.9659722222222,FALSE
"566","C2M47-225-V-20190305-0048.JPG",225,2019,"Mar","2019-03-05","14:34:07",321.148702042,167762,1674.26978616,NA,"C2M47",225,"V",20190305,"0048.JPG","2019","03","05","C2M47-225","Col-0 ProStarv::LUC","WW",64.9659722222222,FALSE
"567","C2M47-226-V-20190305-0048.JPG",226,2019,"Mar","2019-03-05","14:34:07",321.148702503,174362,1740.13798389,NA,"C2M47",226,"V",20190305,"0048.JPG","2019","03","05","C2M47-226","sex1-3","WW",64.9666666666667,FALSE
"568","C2M47-227-V-20190305-0048.JPG",227,2019,"Mar","2019-03-05","14:34:07",321.148702968,133904,1336.36593177,NA,"C2M47",227,"V",20190305,"0048.JPG","2019","03","05","C2M47-227","sex1-3","WW",64.9666666666667,FALSE
"569","C2M47-228-V-20190305-0048.JPG",228,2019,"Mar","2019-03-05","14:34:07",321.148703429,156916,1566.02638121,NA,"C2M47",228,"V",20190305,"0048.JPG","2019","03","05","C2M47-228","bam1bam3","WW",64.9666666666667,FALSE
"570","C2M47-229-V-20190305-0048.JPG",229,2019,"Mar","2019-03-05","14:34:08",321.148704384,181982,1816.18581219,NA,"C2M47",229,"V",20190305,"0048.JPG","2019","03","05","C2M47-229","amy3-2 bam1","WW",64.9604166666667,FALSE
"571","C2M47-230-V-20190305-0048.JPG",230,2019,"Mar","2019-03-05","14:34:08",321.148705049,202514,2021.09578733,NA,"C2M47",230,"V",20190305,"0048.JPG","2019","03","05","C2M47-230","amy3-2 bam1","WW",64.9604166666667,FALSE
"572","C2M47-231-V-20190305-0048.JPG",231,2019,"Mar","2019-03-05","14:34:08",321.148705861,264570,2640.41652653,NA,"C2M47",231,"V",20190305,"0048.JPG","2019","03","05","C2M47-231","pgi1-1","WW",64.9604166666667,FALSE
"573","C2M47-232-V-20190305-0048.JPG",232,2019,"Mar","2019-03-05","14:34:08",321.148706719,227368,2269.13945196,NA,"C2M47",232,"V",20190305,"0048.JPG","2019","03","05","C2M47-232","amy3-2 bam1","WW",64.9611111111111,FALSE
"574","C2M47-233-V-20190305-0048.JPG",233,2019,"Mar","2019-03-05","14:34:08",321.148707722,252856,2523.51045558,NA,"C2M47",233,"V",20190305,"0048.JPG","2019","03","05","C2M47-233","pgm-1","WW",64.9611111111111,FALSE
"575","C2M47-234-V-20190305-0048.JPG",234,2019,"Mar","2019-03-05","14:34:08",321.148708452,486598,4856.2626185,NA,"C2M47",234,"V",20190305,"0048.JPG","2019","03","05","C2M47-234","dpe1-2","WW",64.9666666666667,FALSE
